1no,2no,3no,4no,5no,total
3308694.467,6673975.533,428070.2,31167932.07,220197641.6,261776313.9
3317034.495,6690767.362,429139.8857,31246350.72,220751642.9,262434935.4
3325374.524,6707559.19,430209.5714,31324769.38,221305644.3,263093557
3333714.552,6724351.019,431279.2571,31403188.04,221859645.6,263752178.5
3342054.581,6741142.848,432348.9429,31481606.7,222413647,264410800
3350394.61,6757934.676,433418.6286,31560025.35,222967648.3,265069421.6
3358734.638,6774726.505,434488.3143,31638444.01,223521649.7,265728043.1
3367074.667,6791518.333,435558,31716862.67,224075651,266386664.7
3375414.695,6808310.162,436627.6857,31795281.32,224629652.3,267045286.2
3383754.724,6825101.99,437697.3714,31873699.98,225183653.7,267703907.8
3392094.752,6841893.819,438767.0571,31952118.64,225737655,268362529.3
3400434.781,6858685.648,439836.7429,32030537.3,226291656.4,269021150.8
3408774.81,6875477.476,440906.4286,32108955.95,226845657.7,269679772.4
3417114.838,6892269.305,441976.1143,32187374.61,227399659.1,270338393.9
3425454.867,6909061.133,443045.8,32265793.27,227953660.4,270997015.5
3433794.895,6925852.962,444115.4857,32344211.92,228507661.7,271655637
3442134.924,6942644.79,445185.1714,32422630.58,229061663.1,272314258.6
3450474.952,6959436.619,446254.8571,32501049.24,229615664.4,272972880.1
3458814.981,6976228.448,447324.5429,32579467.9,230169665.8,273631501.6
3467155.01,6993020.276,448394.2286,32657886.55,230723667.1,274290123.2
3475495.038,7009812.105,449463.9143,32736305.21,231277668.5,274948744.7
3483835.067,7026603.933,450533.6,32814723.87,231831669.8,275607366.3
3492175.095,7043395.762,451603.2857,32893142.52,232385671.1,276265987.8
3500515.124,7060187.59,452672.9714,32971561.18,232939672.5,276924609.4
3508855.152,7076979.419,453742.6571,33049979.84,233493673.8,277583230.9
3517195.181,7093771.248,454812.3429,33128398.5,234047675.2,278241852.4
3525535.21,7110563.076,455882.0286,33206817.15,234601676.5,278900474
3533875.238,7127354.905,456951.7143,33285235.81,235155677.9,279559095.5
3542215.267,7144146.733,458021.4,33363654.47,235709679.2,280217717.1
3550555.295,7160938.562,459091.0857,33442073.12,236263680.5,280876338.6
3558895.324,7177730.39,460160.7714,33520491.78,236817681.9,281534960.2
3567235.352,7194522.219,461230.4571,33598910.44,237371683.2,282193581.7
3575575.381,7211314.048,462300.1429,33677329.1,237925684.6,282852203.2
3583915.41,7228105.876,463369.8286,33755747.75,238479685.9,283510824.8
3592255.438,7244897.705,464439.5143,33834166.41,239033687.3,284169446.3
3600595.467,7261689.533,465509.2,33912585.07,239587688.6,284828067.9
3608935.495,7278481.362,466578.8857,33991003.72,240141689.9,285486689.4
3617275.524,7295273.19,467648.5714,34069422.38,240695691.3,286145311
3625615.552,7312065.019,468718.2571,34147841.04,241249692.6,286803932.5
3633955.581,7328856.848,469787.9429,34226259.7,241803694,287462554
3642295.61,7345648.676,470857.6286,34304678.35,242357695.3,288121175.6
3650635.638,7362440.505,471927.3143,34383097.01,242911696.7,288779797.1
3658975.667,7379232.333,472997,34461515.67,243465698,289438418.7
3667315.695,7396024.162,474066.6857,34539934.32,244019699.3,290097040.2
3675655.724,7412815.99,475136.3714,34618352.98,244573700.7,290755661.8
3683995.752,7429607.819,476206.0571,34696771.64,245127702,291414283.3
3692335.781,7446399.648,477275.7429,34775190.3,245681703.4,292072904.8
3700675.81,7463191.476,478345.4286,34853608.95,246235704.7,292731526.4
3709015.838,7479983.305,479415.1143,34932027.61,246789706.1,293390147.9
3717355.867,7496775.133,480484.8,35010446.27,247343707.4,294048769.5
3725695.895,7513566.962,481554.4857,35088864.92,247897708.7,294707391
3734035.924,7530358.79,482624.1714,35167283.58,248451710.1,295366012.6
3742375.952,7547150.619,483693.8571,35245702.24,249005711.4,296024634.1
3750715.981,7563942.448,484763.5429,35324120.9,249559712.8,296683255.6
3759056.01,7580734.276,485833.2286,35402539.55,250113714.1,297341877.2
3767396.038,7597526.105,486902.9143,35480958.21,250667715.5,298000498.7
3775736.067,7614317.933,487972.6,35559376.87,251221716.8,298659120.3
3784076.095,7631109.762,489042.2857,35637795.52,251775718.1,299317741.8
3792416.124,7647901.59,490111.9714,35716214.18,252329719.5,299976363.4
3800756.152,7664693.419,491181.6571,35794632.84,252883720.8,300634984.9
3809096.181,7681485.248,492251.3429,35873051.5,253437722.2,301293606.4
3817436.21,7698277.076,493321.0286,35951470.15,253991723.5,301952228
3825776.238,7715068.905,494390.7143,36029888.81,254545724.9,302610849.5
3834116.267,7731860.733,495460.4,36108307.47,255099726.2,303269471.1
3842456.295,7748652.562,496530.0857,36186726.12,255653727.5,303928092.6
3850796.324,7765444.39,497599.7714,36265144.78,256207728.9,304586714.2
3859136.352,7782236.219,498669.4571,36343563.44,256761730.2,305245335.7
3867476.381,7799028.048,499739.1429,36421982.1,257315731.6,305903957.2
3875816.41,7815819.876,500808.8286,36500400.75,257869732.9,306562578.8
3884156.438,7832611.705,501878.5143,36578819.41,258423734.3,307221200.3
3892496.467,7849403.533,502948.2,36657238.07,258977735.6,307879821.9
3900836.495,7866195.362,504017.8857,36735656.72,259531736.9,308538443.4
3909176.524,7882987.19,505087.5714,36814075.38,260085738.3,309197065
3917516.552,7899779.019,506157.2571,36892494.04,260639739.6,309855686.5
3925856.581,7916570.848,507226.9429,36970912.7,261193741,310514308
3934196.61,7933362.676,508296.6286,37049331.35,261747742.3,311172929.6
3942536.638,7950154.505,509366.3143,37127750.01,262301743.7,311831551.1
3950876.667,7966946.333,510436,37206168.67,262855745,312490172.7
3959216.695,7983738.162,511505.6857,37284587.32,263409746.3,313148794.2
3967556.724,8000529.99,512575.3714,37363005.98,263963747.7,313807415.8
3975896.752,8017321.819,513645.0571,37441424.64,264517749,314466037.3
3984236.781,8034113.648,514714.7429,37519843.3,265071750.4,315124658.8
3992576.81,8050905.476,515784.4286,37598261.95,265625751.7,315783280.4
4000916.838,8067697.305,516854.1143,37676680.61,266179753.1,316441901.9
4009256.867,8084489.133,517923.8,37755099.27,266733754.4,317100523.5
4017596.895,8101280.962,518993.4857,37833517.92,267287755.7,317759145
4025936.924,8118072.79,520063.1714,37911936.58,267841757.1,318417766.6
4034276.952,8134864.619,521132.8571,37990355.24,268395758.4,319076388.1
4042616.981,8151656.448,522202.5429,38068773.9,268949759.8,319735009.6
4050957.01,8168448.276,523272.2286,38147192.55,269503761.1,320393631.2
4059297.038,8185240.105,524341.9143,38225611.21,270057762.5,321052252.7
4067637.067,8202031.933,525411.6,38304029.87,270611763.8,321710874.3
4075977.095,8218823.762,526481.2857,38382448.52,271165765.1,322369495.8
4084317.124,8235615.59,527550.9714,38460867.18,271719766.5,323028117.4
4092657.152,8252407.419,528620.6571,38539285.84,272273767.8,323686738.9
4100997.181,8269199.248,529690.3429,38617704.5,272827769.2,324345360.4
4109337.21,8285991.076,530760.0286,38696123.15,273381770.5,325003982
4117677.238,8302782.905,531829.7143,38774541.81,273935771.9,325662603.5
4126017.267,8319574.733,532899.4,38852960.47,274489773.2,326321225.1
4134357.295,8336366.562,533969.0857,38931379.12,275043774.5,326979846.6
4142697.324,8353158.39,535038.7714,39009797.78,275597775.9,327638468.2
4151037.352,8369950.219,536108.4571,39088216.44,276151777.2,328297089.7
4159377.381,8386742.048,537178.1429,39166635.1,276705778.6,328955711.2
4167717.41,8403533.876,538247.8286,39245053.75,277259779.9,329614332.8
4176057.438,8420325.705,539317.5143,39323472.41,277813781.3,330272954.3
4184397.467,8437117.533,540387.2,39401891.07,278367782.6,330931575.9
4192737.495,8453909.362,541456.8857,39480309.72,278921783.9,331590197.4
4201077.524,8470701.19,542526.5714,39558728.38,279475785.3,332248819
4209417.552,8487493.019,543596.2571,39637147.04,280029786.6,332907440.5
4217757.581,8504284.848,544665.9429,39715565.7,280583788,333566062
4226097.61,8521076.676,545735.6286,39793984.35,281137789.3,334224683.6
4234437.638,8537868.505,546805.3143,39872403.01,281691790.7,334883305.1
4242777.667,8554660.333,547875,39950821.67,282245792,335541926.7
4251117.695,8571452.162,548944.6857,40029240.32,282799793.3,336200548.2
4259457.724,8588243.99,550014.3714,40107658.98,283353794.7,336859169.8
4267797.752,8605035.819,551084.0571,40186077.64,283907796,337517791.3
4276137.781,8621827.648,552153.7429,40264496.3,284461797.4,338176412.8
4284477.81,8638619.476,553223.4286,40342914.95,285015798.7,338835034.4
4292817.838,8655411.305,554293.1143,40421333.61,285569800.1,339493655.9
4301157.867,8672203.133,555362.8,40499752.27,286123801.4,340152277.5
4309497.895,8688994.962,556432.4857,40578170.92,286677802.7,340810899
4317837.924,8705786.79,557502.1714,40656589.58,287231804.1,341469520.6
4326177.952,8722578.619,558571.8571,40735008.24,287785805.4,342128142.1
4334517.981,8739370.448,559641.5429,40813426.9,288339806.8,342786763.6
4342858.01,8756162.276,560711.2286,40891845.55,288893808.1,343445385.2
4351198.038,8772954.105,561780.9143,40970264.21,289447809.5,344104006.7
4359538.067,8789745.933,562850.6,41048682.87,290001810.8,344762628.3
4367878.095,8806537.762,563920.2857,41127101.52,290555812.1,345421249.8
4376218.124,8823329.59,564989.9714,41205520.18,291109813.5,346079871.4
4384558.152,8840121.419,566059.6571,41283938.84,291663814.8,346738492.9
4392898.181,8856913.248,567129.3429,41362357.5,292217816.2,347397114.4
4401238.21,8873705.076,568199.0286,41440776.15,292771817.5,348055736
4409578.238,8890496.905,569268.7143,41519194.81,293325818.9,348714357.5
4417918.267,8907288.733,570338.4,41597613.47,293879820.2,349372979.1
4426258.295,8924080.562,571408.0857,41676032.12,294433821.5,350031600.6
4434598.324,8940872.39,572477.7714,41754450.78,294987822.9,350690222.2
4442938.352,8957664.219,573547.4571,41832869.44,295541824.2,351348843.7
4451278.381,8974456.048,574617.1429,41911288.1,296095825.6,352007465.2
4459618.41,8991247.876,575686.8286,41989706.75,296649826.9,352666086.8
4467958.438,9008039.705,576756.5143,42068125.41,297203828.3,353324708.3
4476298.467,9024831.533,577826.2,42146544.07,297757829.6,353983329.9
4484638.495,9041623.362,578895.8857,42224962.72,298311830.9,354641951.4
4492978.524,9058415.19,579965.5714,42303381.38,298865832.3,355300573
4501318.552,9075207.019,581035.2571,42381800.04,299419833.6,355959194.5
4509658.581,9091998.848,582104.9429,42460218.7,299973835,356617816
4517998.61,9108790.676,583174.6286,42538637.35,300527836.3,357276437.6
4526338.638,9125582.505,584244.3143,42617056.01,301081837.7,357935059.1
4534678.667,9142374.333,585314,42695474.67,301635839,358593680.7
4543018.695,9159166.162,586383.6857,42773893.32,302189840.3,359252302.2
4551358.724,9175957.99,587453.3714,42852311.98,302743841.7,359910923.8
4559698.752,9192749.819,588523.0571,42930730.64,303297843,360569545.3
4568038.781,9209541.648,589592.7429,43009149.3,303851844.4,361228166.8
4576378.81,9226333.476,590662.4286,43087567.95,304405845.7,361886788.4
4584718.838,9243125.305,591732.1143,43165986.61,304959847.1,362545409.9
4593058.867,9259917.133,592801.8,43244405.27,305513848.4,363204031.5
4601398.895,9276708.962,593871.4857,43322823.92,306067849.7,363862653
4609738.924,9293500.79,594941.1714,43401242.58,306621851.1,364521274.6
4618078.952,9310292.619,596010.8571,43479661.24,307175852.4,365179896.1
4626418.981,9327084.448,597080.5429,43558079.9,307729853.8,365838517.6
4634759.01,9343876.276,598150.2286,43636498.55,308283855.1,366497139.2
4643099.038,9360668.105,599219.9143,43714917.21,308837856.5,367155760.7
4651439.067,9377459.933,600289.6,43793335.87,309391857.8,367814382.3
4659779.095,9394251.762,601359.2857,43871754.52,309945859.1,368473003.8
4668119.124,9411043.59,602428.9714,43950173.18,310499860.5,369131625.4

